Primary sector,Very Low,Low,Middle,High
Energy,54.08872260823089,67.19636776390465,52.59483360484059,55.04
Information and communication technology (ICT),4.489577765900588,6.242905788876277,1.489411217128229,2.88
Municipal Solid Waste,3.046499198289685,2.837684449489217,7.493600186176402,3.04
Transport,35.970069481560664,17.13961407491487,17.244589248312778,28.48
Water and sewerage,2.4051309460181725,6.583427922814983,21.177565743542008,10.56
