,count,mean,std,min,25%,50%,75%,max,median,missing,missing_rate
Financial closure year,8161.0,2012.0550177674304,6.804899267944065,2000.0,2007.0,2012.0,2018.0,2024.0,2012.0,0,0.0
InvestmentYear,8161.0,2012.4206592329372,6.498744947210045,2000.0,2007.0,2012.0,2018.0,2024.0,2012.0,0,0.0
