country_iso,country,clean_policy_count,total_policy_count,green_policy_share,total_investment_narrow,green_investment_narrow,green_share_narrow,total_investment_broad,green_investment_broad,green_share_broad
IND,India,113,145,0.7793103448275862,17412.409999999996,15928.409999999998,0.9147734288361004,17412.409999999996,15928.409999999998,0.9147734288361004
IRN,Iran,10,11,0.9090909090909091,94.5,94.5,1.0,94.5,94.5,1.0
IRQ,Iraq,3,4,0.75,500.0,0.0,0.0,500.0,0.0,0.0
JAM,Jamaica,5,6,0.8333333333333334,478.3,148.3,0.3100564499268242,478.3,148.3,0.3100564499268242
JOR,Jordan,3,4,0.75,1835.8000000000002,1360.8000000000002,0.7412572175618259,1835.8000000000002,1360.8000000000002,0.7412572175618259
KAZ,Kazakhstan,18,18,1.0,1333.9099999999999,1093.9099999999999,0.820077816344431,1333.9099999999999,1093.9099999999999,0.820077816344431
KEN,Kenya,17,27,0.6296296296296297,899.96,899.96,1.0,899.96,899.96,1.0
KGZ,Kyrgyzstan,1,2,0.5,217.8,217.8,1.0,335.78999999999996,335.78999999999996,1.0
KHM,Cambodia,3,4,0.75,98.7,98.7,1.0,546.2,546.2,1.0
KNA,Saint Kitts and Nevis,1,1,1.0,47.85,47.85,1.0,47.85,47.85,1.0
LAO,Lao People&#039;s Democratic Republic,3,3,1.0,1058.0,1058.0,1.0,2858.0,2858.0,1.0
LBN,Lebanon,1,2,0.5,180.0,0.0,0.0,180.0,0.0,0.0
LCA,Saint Lucia,1,1,1.0,20.0,20.0,1.0,20.0,20.0,1.0
LKA,Sri Lanka,8,9,0.8888888888888888,8.32,8.32,1.0,8.32,8.32,1.0
LSO,Lesotho,1,2,0.5,12.260000000000002,12.260000000000002,1.0,12.260000000000002,12.260000000000002,1.0
MAR,Morocco,28,34,0.8235294117647058,1714.3500000000001,1714.3500000000001,1.0,1714.3500000000001,1714.3500000000001,1.0
MDG,Madagascar,3,5,0.6,96.72,96.72,1.0,96.72,96.72,1.0
MDV,Maldives,4,6,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
MEX,Mexico,65,83,0.7831325301204819,13799.269999999999,11564.869999999999,0.8380783911032975,13799.269999999999,11564.869999999999,0.8380783911032975
MKD,"Macedonia, the former Yugoslav Republic of",1,2,0.5,87.07000000000001,87.07000000000001,1.0,87.07000000000001,87.07000000000001,1.0
MLI,Mali,1,2,0.5,424.94,288.5,0.6789193768532028,424.94,288.5,0.6789193768532028
MMR,Myanmar,3,7,0.42857142857142855,608.0,293.0,0.4819078947368421,608.0,293.0,0.4819078947368421
MNE,Montenegro,2,3,0.6666666666666666,99.75,99.75,1.0,99.75,99.75,1.0
MNG,Mongolia,7,11,0.6363636363636364,320.7,320.7,1.0,320.7,320.7,1.0
MOZ,Mozambique,8,13,0.6153846153846154,1405.3,1132.3,0.8057354301572618,1534.9,1261.9,0.8221382500488631
MUS,Mauritius,2,3,0.6666666666666666,23.17,23.17,1.0,23.17,23.17,1.0
MWI,Malawi,2,3,0.6666666666666666,94.6,94.6,1.0,94.6,94.6,1.0
MYS,Malaysia,16,19,0.8421052631578947,2154.85,1317.85,0.6115738914541615,2154.85,1317.85,0.6115738914541615
NAM,Namibia,2,3,0.6666666666666666,148.37,148.37,1.0,148.37,148.37,1.0
NGA,Nigeria,31,35,0.8857142857142857,246.0,246.0,1.0,246.0,246.0,1.0
NIC,Nicaragua,1,2,0.5,25.0,25.0,1.0,25.0,25.0,1.0
NPL,Nepal,13,20,0.65,215.41,215.41,1.0,1704.5100000000002,1704.5100000000002,1.0
PAK,Pakistan,18,18,1.0,8450.41,1890.41,0.22370630537453215,12038.61,5478.61,0.45508659222285625
PER,Peru,14,33,0.42424242424242425,2409.7,2409.7,1.0,2955.0,2955.0,1.0
PHL,Philippines,29,39,0.7435897435897436,11182.32,7321.92,0.6547764685682399,11182.32,7321.92,0.6547764685682399
PLW,Palau,1,2,0.5,22.0,22.0,1.0,22.0,22.0,1.0
PNG,Papua New Guinea,3,3,1.0,1.2,1.2,1.0,1.2,1.2,1.0
RUS,Russian Federation,39,53,0.7358490566037735,2095.7100000000005,1916.7100000000003,0.9145874190608433,2095.7100000000005,1916.7100000000003,0.9145874190608433
RWA,Rwanda,5,7,0.7142857142857143,409.3,409.3,1.0,409.3,409.3,1.0
SEN,Senegal,9,12,0.75,1569.06,894.53,0.5701056683619492,1569.06,894.53,0.5701056683619492
SLB,Solomon Islands,2,4,0.5,233.37,233.37,1.0,233.37,233.37,1.0
SLE,Sierra Leone,1,2,0.5,458.2,1.2,0.0026189436927106066,458.2,1.2,0.0026189436927106066
SLV,El Salvador,4,8,0.5,1213.1,336.1,0.27705877503915594,1213.1,336.1,0.27705877503915594
SOM,Somalia,1,2,0.5,5.67,5.67,1.0,5.67,5.67,1.0
SRB,Serbia,1,2,0.5,1422.1,1422.1,1.0,1422.1,1422.1,1.0
SSD,South Sudan,2,2,1.0,20.0,20.0,1.0,20.0,20.0,1.0
STP,Sao Tome and Principe,1,2,0.5,30.0,30.0,1.0,30.0,30.0,1.0
SWZ,Eswatini,2,3,0.6666666666666666,115.0,115.0,1.0,115.0,115.0,1.0
TCD,Chad,1,2,0.5,321.35,321.35,1.0,321.35,321.35,1.0
