policy_id,country_iso,policy_name,policy_title,jurisdiction,supranational_region,country,subnational_region,policy_city_or_local,policy_instrument,sector,policy_description,policy_type,stringency,policy_status,decision_date,start_date,end_date,high_impact,policy_objective,reference,impact_indicators,last_update
211000459,IND,Clean Energy Cess Rules India (2010),Clean Energy Cess Rules,Country,,India,,,"Policy support, Institutional creation, Economic instruments, Fiscal or financial incentives, Energy and other taxes","Electricity and heat, Coal, Buildings, Industry","This is the financing source for the National Clean Energy Fund.
Since 2010, the Indian Government has doubled the coal tax—now called the GST (Goods and Services Tax) Compensation Cess, three times, reaching 400 rupees per tonne (around USD 3.2 per tonne) of coal produced and imported in the 2016–2017 budget. The GST Compensation Cess is effectively a carbon tax levied at source, with the revenue feeding into the National Clean Environment Fund that provides finance for renewable energy projects. The GST compensation cess generated revenues of USD 12 billion between 2010-2018. 
Update: In 2025, the GST compensation cess was removed, and replaced by an increase in the GST rate on coal from 5% to 18%. Overall, this resulted in a lower tax burden on coal than previously.","Renewables, Energy service demand reduction and resource efficiency",,In force,2010,,,,Mitigation,https://bareactslive.com/ACA/act2299.htm?AspxAutoDetectCookieSupport=1,,"<time datetime=""2026-02-13T12:00:00Z"">13/02/2026</time>
"
211003254,IND,Clean Environment Cess India (2010),Clean Environment Cess,Country,,India,,,Energy and other taxes,Electricity and heat,"The Clean Environment Cess is levied as a duty excise on coal, lignite and peat in order to promote clear environment initiatives.","Energy service demand reduction and resource efficiency, Energy efficiency, Renewables, Other low-carbon technologies and fuel switch, Non-energy use",,In force,2010,,,Unknown,Mitigation,https://nacin.gov.in/resources/file/e-books/Clean%20Environment%20(Energy)%20Cess.pdf,,
