Project status,Very Low,Low,Middle,High
Active,95.88455371459112,97.04880817253121,97.92878752618105,96.0
Cancelled,2.4051309460181725,1.2485811577752552,1.1403304631138003,1.6
Concluded,1.0689470871191877,1.0215664018161181,0.5585292064230859,1.92
Distressed,0.6413682522715126,0.681044267877412,0.37235280428205725,0.48
