Country,Financial closure year,total_projects,total_investment,resilient_projects,resilient_investment,resilient_share_count,resilient_share_value
Burkina Faso,2017,1,471.3,0.0,0.0,0.0,0.0
Burkina Faso,2021,5,186.01,5.0,186.01,1.0,1.0
Burkina Faso,2022,1,46.4,1.0,46.4,1.0,1.0
Burkina Faso,2024,1,27.7,1.0,27.7,1.0,1.0
Burundi,2020,1,15.7,1.0,15.7,1.0,1.0
Burundi,2023,1,1.0,1.0,1.0,1.0,1.0
Burundi,2024,1,7.7,1.0,7.7,1.0,1.0
Cabo Verde,2010,1,80.0,1.0,80.0,1.0,1.0
Cabo Verde,2019,1,25.0,0.0,0.0,0.0,0.0
Cabo Verde,2023,2,180.18,1.0,30.0,0.5,0.1665001665001665
Cambodia,2001,5,164.0,2.0,67.1,0.4,0.4091463414634146
Cambodia,2002,1,7.2,0.0,0.0,0.0,0.0
Cambodia,2004,2,31.0,0.0,0.0,0.0,0.0
Cambodia,2005,1,25.0,0.0,0.0,0.0,0.0
Cambodia,2006,1,40.1,0.0,0.0,0.0,0.0
Cambodia,2007,3,541.63,3.0,541.63,1.0,1.0
Cambodia,2009,1,0.0,0.0,0.0,0.0,
Cambodia,2010,4,1757.0,3.0,1510.0,0.75,0.8594194649971543
Cambodia,2012,1,0.0,1.0,0.0,1.0,
Cambodia,2017,2,1012.5,1.0,12.5,0.5,0.012345679012345678
Cambodia,2019,2,1875.0,0.0,0.0,0.0,0.0
Cambodia,2020,1,45.0,1.0,45.0,1.0,1.0
Cambodia,2021,1,41.2,1.0,41.2,1.0,1.0
Cambodia,2022,1,7.0,1.0,7.0,1.0,1.0
Cambodia,2023,2,449.8,2.0,449.8,1.0,1.0
Cameroon,2000,1,95.0,0.0,0.0,0.0,0.0
Cameroon,2004,1,0.0,0.0,0.0,0.0,
Cameroon,2007,1,0.0,1.0,0.0,1.0,
Cameroon,2009,1,126.0,0.0,0.0,0.0,0.0
Cameroon,2010,1,342.0,0.0,0.0,0.0,0.0
Cameroon,2017,1,568.0,0.0,0.0,0.0,0.0
Cameroon,2018,2,1524.34,1.0,1388.34,0.5,0.910781059343716
Cameroon,2020,1,30.73,0.0,0.0,0.0,0.0
Cameroon,2022,1,52.5,0.0,0.0,0.0,0.0
Cameroon,2023,1,100.0,1.0,100.0,1.0,1.0
Chad,2000,1,0.0,0.0,0.0,0.0,
Chad,2010,1,303.0,0.0,0.0,0.0,0.0
Chad,2020,1,150.0,1.0,150.0,1.0,1.0
Chad,2021,2,71.35,2.0,71.35,1.0,1.0
Chad,2023,1,100.0,1.0,100.0,1.0,1.0
China,2000,26,8834.8,8.0,305.7,0.3076923076923077,0.03460180196495676
China,2001,52,4817.17,13.0,665.21,0.25,0.13809145203511605
China,2002,78,5597.28,23.0,1224.72,0.2948717948717949,0.21880627733470545
China,2003,83,8515.0,33.0,3759.61,0.39759036144578314,0.4415278919553729
China,2004,65,2535.1,33.0,1278.77,0.5076923076923077,0.5044258609127845
China,2005,87,8848.589,48.0,1306.1490000000001,0.5517241379310345,0.14761099198979635
China,2006,84,8396.24103,54.0,1051.15103,0.6428571428571429,0.12519305082407814
China,2007,103,8602.40547,77.0,3047.32547,0.7475728155339806,0.3542410876384789
China,2008,63,2627.06358,54.0,2086.8835799999997,0.8571428571428571,0.7943787869801003
China,2009,48,6171.57,38.0,3491.54,0.7916666666666666,0.5657458312876626
China,2010,20,596.67,20.0,596.67,1.0,1.0
China,2011,87,4503.28,76.0,3372.77,0.8735632183908046,0.7489585368886679
China,2012,77,6033.44,72.0,4154.04,0.935064935064935,0.6885027447028561
China,2013,89,9679.869999999999,79.0,5121.03,0.8876404494382022,0.529039129657733
