country_iso,clean_policy_count,total_policy_count,green_policy_share,total_investment_narrow,green_investment_narrow,green_share_narrow,total_investment_broad,green_investment_broad,green_share_broad
MKD,1,2,0.5,87.07000000000001,87.07000000000001,1.0,87.07000000000001,87.07000000000001,1.0
MLI,1,2,0.5,424.94,288.5,0.6789193768532028,424.94,288.5,0.6789193768532028
MMR,3,7,0.42857142857142855,608.0,293.0,0.4819078947368421,608.0,293.0,0.4819078947368421
MNE,2,3,0.6666666666666666,99.75,99.75,1.0,99.75,99.75,1.0
MNG,7,11,0.6363636363636364,320.7,320.7,1.0,320.7,320.7,1.0
MOZ,8,13,0.6153846153846154,1405.3,1132.3,0.8057354301572618,1534.9,1261.9,0.8221382500488631
MUS,2,3,0.6666666666666666,23.17,23.17,1.0,23.17,23.17,1.0
MWI,2,3,0.6666666666666666,94.6,94.6,1.0,94.6,94.6,1.0
MYS,16,19,0.8421052631578947,2154.85,1317.85,0.6115738914541615,2154.85,1317.85,0.6115738914541615
NAM,2,3,0.6666666666666666,148.37,148.37,1.0,148.37,148.37,1.0
NGA,31,35,0.8857142857142857,246.0,246.0,1.0,246.0,246.0,1.0
NIC,1,2,0.5,25.0,25.0,1.0,25.0,25.0,1.0
NPL,13,20,0.65,215.41,215.41,1.0,1704.5100000000002,1704.5100000000002,1.0
PAK,18,18,1.0,8450.41,1890.41,0.22370630537453215,12038.61,5478.61,0.45508659222285625
PER,14,33,0.42424242424242425,2409.7,2409.7,1.0,2955.0,2955.0,1.0
PHL,29,39,0.7435897435897436,11182.32,7321.92,0.6547764685682399,11182.32,7321.92,0.6547764685682399
PLW,1,2,0.5,22.0,22.0,1.0,22.0,22.0,1.0
PNG,3,3,1.0,1.2,1.2,1.0,1.2,1.2,1.0
RUS,39,53,0.7358490566037735,2095.7100000000005,1916.7100000000003,0.9145874190608433,2095.7100000000005,1916.7100000000003,0.9145874190608433
RWA,5,7,0.7142857142857143,409.3,409.3,1.0,409.3,409.3,1.0
SEN,9,12,0.75,1569.06,894.53,0.5701056683619492,1569.06,894.53,0.5701056683619492
SLB,2,4,0.5,233.37,233.37,1.0,233.37,233.37,1.0
SLE,1,2,0.5,458.2,1.2,0.0026189436927106066,458.2,1.2,0.0026189436927106066
SLV,4,8,0.5,1213.1,336.1,0.27705877503915594,1213.1,336.1,0.27705877503915594
SOM,1,2,0.5,5.67,5.67,1.0,5.67,5.67,1.0
SRB,1,2,0.5,1422.1,1422.1,1.0,1422.1,1422.1,1.0
SSD,2,2,1.0,20.0,20.0,1.0,20.0,20.0,1.0
STP,1,2,0.5,30.0,30.0,1.0,30.0,30.0,1.0
SWZ,2,3,0.6666666666666666,115.0,115.0,1.0,115.0,115.0,1.0
TCD,1,2,0.5,321.35,321.35,1.0,321.35,321.35,1.0
TGO,5,9,0.5555555555555556,258.34999999999997,258.34999999999997,1.0,258.34999999999997,258.34999999999997,1.0
THA,28,37,0.7567567567567568,7987.06,3515.5699999999997,0.44015820589804,8108.220000000001,3636.7299999999996,0.4485238437042901
TUN,16,17,0.9411764705882353,345.08000000000004,345.08000000000004,1.0,345.08000000000004,345.08000000000004,1.0
TUR,66,86,0.7674418604651163,5319.29,5319.29,1.0,8446.34,8446.34,1.0
TZA,12,16,0.75,46.2,46.2,1.0,46.2,46.2,1.0
UGA,10,12,0.8333333333333334,306.34000000000003,306.34000000000003,1.0,306.34000000000003,306.34000000000003,1.0
UKR,30,38,0.7894736842105263,3508.58,3508.58,1.0,3508.58,3508.58,1.0
UZB,16,18,0.8888888888888888,6927.91,4843.91,0.6991877781322217,6927.91,4843.91,0.6991877781322217
VCT,1,1,1.0,82.0,82.0,1.0,82.0,82.0,1.0
VNM,47,56,0.8392857142857143,19259.91,6261.250000000001,0.32509238101320315,19633.91,6635.25,0.33794847791397636
ZAF,62,78,0.7948717948717948,10097.77,10097.77,1.0,10097.77,10097.77,1.0
ZMB,8,14,0.5714285714285714,544.2,544.2,1.0,544.2,544.2,1.0
ZWE,7,10,0.7,360.2,360.2,1.0,360.2,360.2,1.0
