Country,Financial closure year,total_investment,total_projects,green_investment,green_projects,green_share_value,green_share_count,total_investment_broad,total_projects_broad,green_investment_broad,green_projects_broad,green_share_value_broad,green_share_count_broad
Botswana,2023,60.0,1.0,60.0,1.0,1.0,1.0,60.0,1,60.0,1.0,1.0,1.0
Botswana,2024,60.5,3.0,60.5,3.0,1.0,1.0,60.5,3,60.5,3.0,1.0,1.0
Brazil,2010,1256.2,15.0,1059.5,14.0,0.8434166533991402,0.9333333333333333,1680.8,17,1484.1,16.0,0.8829723940980485,0.9411764705882353
Brazil,2011,9279.4,38.0,6460.3,32.0,0.6961980300450461,0.8421052631578947,9279.4,38,6460.3,32.0,0.6961980300450461,0.8421052631578947
Brazil,2012,4682.13,27.0,4375.33,26.0,0.93447426705367,0.9629629629629629,22784.53,32,22477.73,31.0,0.9865347233407931,0.96875
Brazil,2013,4988.62,38.0,4490.62,35.0,0.9001727932774995,0.9210526315789473,5286.02,39,4788.02,36.0,0.9057892327308636,0.9230769230769231
Brazil,2014,4236.0,28.0,4236.0,28.0,1.0,1.0,5399.2,32,5399.2,32.0,1.0,1.0
Brazil,2015,2717.58,27.0,2174.7,25.0,0.8002340317488353,0.9259259259259259,2717.58,27,2174.7,25.0,0.8002340317488353,0.9259259259259259
Brazil,2016,4139.5,29.0,4020.1,25.0,0.9711559367073318,0.8620689655172413,8408.6,31,8289.2,27.0,0.9858002521228266,0.8709677419354839
Brazil,2017,3363.0,15.0,3333.6,14.0,0.991257805530776,0.9333333333333333,3363.0,15,3333.6,14.0,0.991257805530776,0.9333333333333333
Brazil,2018,3614.2200000000003,28.0,1808.22,27.0,0.5003071202085096,0.9642857142857143,3614.2200000000003,28,1808.22,27.0,0.5003071202085096,0.9642857142857143
Brazil,2019,3511.96,9.0,1696.96,7.0,0.4831945694142302,0.7777777777777778,3511.96,9,1696.96,7.0,0.4831945694142302,0.7777777777777778
Brazil,2020,4345.07,25.0,2925.07,23.0,0.673192836939336,0.92,4345.07,25,2925.07,23.0,0.673192836939336,0.92
Brazil,2021,2731.57,19.0,2731.57,19.0,1.0,1.0,2731.57,19,2731.57,19.0,1.0,1.0
Brazil,2022,3416.0899999999997,24.0,3416.0899999999997,24.0,1.0,1.0,3606.0899999999997,26,3606.0899999999997,26.0,1.0,1.0
Brazil,2023,3965.8500000000004,25.0,3375.8500000000004,23.0,0.8512298750583104,0.92,3965.8500000000004,25,3375.8500000000004,23.0,0.8512298750583104,0.92
Brazil,2024,3910.62,34.0,3910.62,34.0,1.0,1.0,4021.62,35,4021.62,35.0,1.0,1.0
Bulgaria,2010,166.83999999999997,3.0,166.83999999999997,3.0,1.0,1.0,166.83999999999997,3,166.83999999999997,3.0,1.0,1.0
Bulgaria,2011,569.69,7.0,569.69,7.0,1.0,1.0,569.69,7,569.69,7.0,1.0,1.0
Bulgaria,2012,550.6800000000001,12.0,550.6800000000001,12.0,1.0,1.0,550.6800000000001,12,550.6800000000001,12.0,1.0,1.0
Bulgaria,2013,165.0,1.0,165.0,1.0,1.0,1.0,165.0,1,165.0,1.0,1.0,1.0
Bulgaria,2019,11.59,1.0,11.59,1.0,1.0,1.0,11.59,1,11.59,1.0,1.0,1.0
Bulgaria,2022,106.39,1.0,106.39,1.0,1.0,1.0,106.39,1,106.39,1.0,1.0,1.0
Bulgaria,2023,293.14,3.0,293.14,3.0,1.0,1.0,293.14,3,293.14,3.0,1.0,1.0
Bulgaria,2024,291.56,3.0,291.56,3.0,1.0,1.0,291.56,3,291.56,3.0,1.0,1.0
Burkina Faso,2021,186.01,5.0,186.01,5.0,1.0,1.0,186.01,5,186.01,5.0,1.0,1.0
Burkina Faso,2022,46.4,1.0,46.4,1.0,1.0,1.0,46.4,1,46.4,1.0,1.0,1.0
Burkina Faso,2024,27.7,1.0,27.7,1.0,1.0,1.0,27.7,1,27.7,1.0,1.0,1.0
