Country,Financial closure year,total_investment,total_projects,green_investment,green_projects,green_share_value,green_share_count,total_investment_broad,total_projects_broad,green_investment_broad,green_projects_broad,green_share_value_broad,green_share_count_broad
Iraq,2016,500.0,1.0,0.0,0.0,0.0,0.0,500.0,1,0.0,0.0,0.0,0.0
Jamaica,2010,132.0,1.0,0.0,0.0,0.0,0.0,132.0,1,0.0,0.0,0.0,0.0
Jamaica,2015,209.8,3.0,209.8,3.0,1.0,1.0,209.8,3,209.8,3.0,1.0,1.0
Jamaica,2017,390.0,2.0,60.0,1.0,0.15384615384615385,0.5,390.0,2,60.0,1.0,0.15384615384615385,0.5
Jamaica,2018,64.0,1.0,64.0,1.0,1.0,1.0,64.0,1,64.0,1.0,1.0,1.0
Jamaica,2022,24.3,1.0,24.3,1.0,1.0,1.0,24.3,1,24.3,1.0,1.0,1.0
Jordan,2012,350.0,1.0,0.0,0.0,0.0,0.0,350.0,1,0.0,0.0,0.0,0.0
Jordan,2013,1102.0,2.0,290.0,1.0,0.2631578947368421,0.5,1102.0,2,290.0,1.0,0.2631578947368421,0.5
Jordan,2014,191.0,4.0,191.0,4.0,1.0,1.0,191.0,4,191.0,4.0,1.0,1.0
Jordan,2015,428.0,8.0,428.0,8.0,1.0,1.0,428.0,8,428.0,8.0,1.0,1.0
Jordan,2016,952.1,4.0,477.1,3.0,0.5011028253334734,0.75,952.1,4,477.1,3.0,0.5011028253334734,0.75
Jordan,2017,644.7,5.0,644.7,5.0,1.0,1.0,644.7,5,644.7,5.0,1.0,1.0
Jordan,2018,165.0,3.0,165.0,3.0,1.0,1.0,165.0,3,165.0,3.0,1.0,1.0
Jordan,2019,74.0,1.0,74.0,1.0,1.0,1.0,74.0,1,74.0,1.0,1.0,1.0
Kazakhstan,2018,52.4,1.0,52.4,1.0,1.0,1.0,52.4,1,52.4,1.0,1.0,1.0
Kazakhstan,2019,553.5999999999999,7.0,553.5999999999999,7.0,1.0,1.0,553.5999999999999,7,553.5999999999999,7.0,1.0,1.0
Kazakhstan,2020,265.48,3.0,265.48,3.0,1.0,1.0,265.48,3,265.48,3.0,1.0,1.0
Kazakhstan,2021,27.9,1.0,27.9,1.0,1.0,1.0,27.9,1,27.9,1.0,1.0,1.0
Kazakhstan,2023,194.53,2.0,194.53,2.0,1.0,1.0,194.53,2,194.53,2.0,1.0,1.0
Kazakhstan,2024,240.0,1.0,0.0,0.0,0.0,0.0,240.0,1,0.0,0.0,0.0,0.0
Kenya,2011,4.7,1.0,0.0,0.0,0.0,0.0,4.7,1,0.0,0.0,0.0,0.0
Kenya,2012,140.0,1.0,0.0,0.0,0.0,0.0,140.0,1,0.0,0.0,0.0,0.0
Kenya,2013,533.97,4.0,377.97,3.0,0.7078487555480645,0.75,533.97,4,377.97,3.0,0.7078487555480645,0.75
Kenya,2014,800.94,2.0,800.94,2.0,1.0,1.0,800.94,2,800.94,2.0,1.0,1.0
Kenya,2018,300.0,1.0,300.0,1.0,1.0,1.0,300.0,1,300.0,1.0,1.0,1.0
Kenya,2019,220.2,3.0,220.2,3.0,1.0,1.0,220.2,3,220.2,3.0,1.0,1.0
Kenya,2020,147.16,2.0,147.16,2.0,1.0,1.0,147.16,2,147.16,2.0,1.0,1.0
Kenya,2022,155.6,3.0,155.6,3.0,1.0,1.0,155.6,3,155.6,3.0,1.0,1.0
Kenya,2024,77.0,2.0,77.0,2.0,1.0,1.0,77.0,2,77.0,2.0,1.0,1.0
Kosovo,2012,62.1,1.0,62.1,1.0,1.0,1.0,62.1,1,62.1,1.0,1.0,1.0
Kosovo,2019,211.73,2.0,211.73,2.0,1.0,1.0,211.73,2,211.73,2.0,1.0,1.0
Kyrgyz Republic,2023,,,,,,,117.99,1,117.99,1.0,1.0,1.0
Kyrgyz Republic,2024,217.8,2.0,217.8,2.0,1.0,1.0,217.8,2,217.8,2.0,1.0,1.0
Lao PDR,2010,3710.0,1.0,0.0,0.0,0.0,0.0,3860.0,2,150.0,1.0,0.038860103626943004,0.5
Lao PDR,2011,14.0,1.0,14.0,1.0,1.0,1.0,455.6,2,455.6,2.0,1.0,1.0
Lao PDR,2012,,,,,,,5888.42,12,5888.42,12.0,1.0,1.0
Lao PDR,2014,,,,,,,2025.5,2,2025.5,2.0,1.0,1.0
Lao PDR,2017,50.0,1.0,50.0,1.0,1.0,1.0,1850.0,3,1850.0,3.0,1.0,1.0
Lao PDR,2019,49.0,1.0,49.0,1.0,1.0,1.0,49.0,1,49.0,1.0,1.0,1.0
Lao PDR,2023,959.0,1.0,959.0,1.0,1.0,1.0,959.0,1,959.0,1.0,1.0,1.0
Lebanon,2016,180.0,1.0,0.0,0.0,0.0,0.0,180.0,1,0.0,0.0,0.0,0.0
Lesotho,2022,9.96,1.0,9.96,1.0,1.0,1.0,9.96,1,9.96,1.0,1.0,1.0
Lesotho,2024,2.3,1.0,2.3,1.0,1.0,1.0,2.3,1,2.3,1.0,1.0,1.0
Liberia,2010,0.0,1.0,0.0,0.0,,0.0,0.0,1,0.0,0.0,,0.0
Madagascar,2020,19.0,1.0,19.0,1.0,1.0,1.0,19.0,1,19.0,1.0,1.0,1.0
Madagascar,2022,29.72,1.0,29.72,1.0,1.0,1.0,29.72,1,29.72,1.0,1.0,1.0
Madagascar,2023,48.0,2.0,48.0,2.0,1.0,1.0,48.0,2,48.0,2.0,1.0,1.0
Malawi,2019,67.0,1.0,67.0,1.0,1.0,1.0,67.0,1,67.0,1.0,1.0,1.0
Malawi,2022,27.6,1.0,27.6,1.0,1.0,1.0,27.6,1,27.6,1.0,1.0,1.0
Malaysia,2011,24.0,1.0,24.0,1.0,1.0,1.0,24.0,1,24.0,1.0,1.0,1.0
Malaysia,2012,193.89999999999998,5.0,193.89999999999998,5.0,1.0,1.0,193.89999999999998,5,193.89999999999998,5.0,1.0,1.0
Malaysia,2013,1283.0,3.0,41.0,1.0,0.03195635229929852,0.3333333333333333,1283.0,3,41.0,1.0,0.03195635229929852,0.3333333333333333
Malaysia,2014,52.0,1.0,52.0,1.0,1.0,1.0,52.0,1,52.0,1.0,1.0,1.0
Malaysia,2015,2690.5,2.0,15.5,1.0,0.005761010964504739,0.5,2690.5,2,15.5,1.0,0.005761010964504739,0.5
Malaysia,2016,22.0,3.0,22.0,3.0,1.0,1.0,22.0,3,22.0,3.0,1.0,1.0
Malaysia,2017,365.3,3.0,365.3,3.0,1.0,1.0,365.3,3,365.3,3.0,1.0,1.0
Malaysia,2018,143.25,2.0,143.25,2.0,1.0,1.0,143.25,2,143.25,2.0,1.0,1.0
Malaysia,2019,95.03,2.0,95.03,2.0,1.0,1.0,95.03,2,95.03,2.0,1.0,1.0
Malaysia,2021,1331.5,2.0,494.5,1.0,0.37138565527600453,0.5,1331.5,2,494.5,1.0,0.37138565527600453,0.5
Malaysia,2022,47.66,1.0,47.66,1.0,1.0,1.0,47.66,1,47.66,1.0,1.0,1.0
Malaysia,2023,130.79,3.0,130.79,3.0,1.0,1.0,130.79,3,130.79,3.0,1.0,1.0
Malaysia,2024,19.32,1.0,19.32,1.0,1.0,1.0,19.32,1,19.32,1.0,1.0,1.0
Maldives,2022,0.0,1.0,0.0,1.0,,1.0,0.0,1,0.0,1.0,,1.0
Mali,2017,136.44,1.0,0.0,0.0,0.0,0.0,136.44,1,0.0,0.0,0.0,0.0
Mali,2018,104.5,1.0,104.5,1.0,1.0,1.0,104.5,1,104.5,1.0,1.0,1.0
Mali,2020,128.0,1.0,128.0,1.0,1.0,1.0,128.0,1,128.0,1.0,1.0,1.0
Mali,2021,56.0,1.0,56.0,1.0,1.0,1.0,56.0,1,56.0,1.0,1.0,1.0
Mauritius,2014,69.5,1.0,69.5,1.0,1.0,1.0,69.5,1,69.5,1.0,1.0,1.0
Mauritius,2023,23.17,2.0,23.17,2.0,1.0,1.0,23.17,2,23.17,2.0,1.0,1.0
Mexico,2010,439.7,2.0,439.7,2.0,1.0,1.0,439.7,2,439.7,2.0,1.0,1.0
Mexico,2011,1207.0,5.0,787.0,4.0,0.652029826014913,0.8,1207.0,5,787.0,4.0,0.652029826014913,0.8
Mexico,2012,2129.5,5.0,2129.5,5.0,1.0,1.0,2129.5,5,2129.5,5.0,1.0,1.0
Mexico,2013,1981.6,10.0,1981.6,10.0,1.0,1.0,1981.6,10,1981.6,10.0,1.0,1.0
Mexico,2014,1386.7,5.0,1386.7,5.0,1.0,1.0,1386.7,5,1386.7,5.0,1.0,1.0
Mexico,2015,,,,,,,342.0,1,342.0,1.0,1.0,1.0
Mexico,2016,295.0,2.0,295.0,2.0,1.0,1.0,295.0,2,295.0,2.0,1.0,1.0
Mexico,2017,5963.8,15.0,3729.4,12.0,0.6253395486099467,0.8,5963.8,15,3729.4,12.0,0.6253395486099467,0.8
Mexico,2018,3597.65,17.0,3597.65,17.0,1.0,1.0,3597.65,17,3597.65,17.0,1.0,1.0
Mexico,2019,2717.21,18.0,2717.21,18.0,1.0,1.0,2717.21,18,2717.21,18.0,1.0,1.0
Mexico,2020,211.5,3.0,211.5,3.0,1.0,1.0,211.5,3,211.5,3.0,1.0,1.0
Mexico,2021,448.46,2.0,448.46,2.0,1.0,1.0,448.46,2,448.46,2.0,1.0,1.0
Mexico,2023,14.65,1.0,14.65,1.0,1.0,1.0,14.65,1,14.65,1.0,1.0,1.0
Mexico,2024,551.0,2.0,551.0,2.0,1.0,1.0,551.0,2,551.0,2.0,1.0,1.0
Mongolia,2012,120.0,1.0,120.0,1.0,1.0,1.0,120.0,1,120.0,1.0,1.0,1.0
Mongolia,2016,128.0,1.0,128.0,1.0,1.0,1.0,128.0,1,128.0,1.0,1.0,1.0
Mongolia,2017,120.0,1.0,120.0,1.0,1.0,1.0,120.0,1,120.0,1.0,1.0,1.0
Mongolia,2018,54.0,1.0,54.0,1.0,1.0,1.0,54.0,1,54.0,1.0,1.0,1.0
Mongolia,2019,18.7,1.0,18.7,1.0,1.0,1.0,18.7,1,18.7,1.0,1.0,1.0
Montenegro,2015,154.6,1.0,154.6,1.0,1.0,1.0,154.6,1,154.6,1.0,1.0,1.0
Montenegro,2018,99.75,1.0,99.75,1.0,1.0,1.0,99.75,1,99.75,1.0,1.0,1.0
Morocco,2011,342.75,1.0,342.75,1.0,1.0,1.0,342.75,1,342.75,1.0,1.0,1.0
Morocco,2012,1880.0,2.0,467.0,1.0,0.24840425531914895,0.5,1880.0,2,467.0,1.0,0.24840425531914895,0.5
Morocco,2013,1438.0,1.0,1438.0,1.0,1.0,1.0,1438.0,1,1438.0,1.0,1.0,1.0
Morocco,2014,2621.58,1.0,0.0,0.0,0.0,0.0,2621.58,1,0.0,0.0,0.0,0.0
Morocco,2015,1900.0,2.0,1900.0,2.0,1.0,1.0,1900.0,2,1900.0,2.0,1.0,1.0
Morocco,2017,220.0,1.0,220.0,1.0,1.0,1.0,220.0,1,220.0,1.0,1.0,1.0
Morocco,2018,261.86,1.0,261.86,1.0,1.0,1.0,261.86,1,261.86,1.0,1.0,1.0
Morocco,2019,25.8,2.0,25.8,2.0,1.0,1.0,25.8,2,25.8,2.0,1.0,1.0
Morocco,2020,1038.77,2.0,1038.77,2.0,1.0,1.0,1038.77,2,1038.77,2.0,1.0,1.0
Morocco,2022,167.92000000000002,2.0,167.92000000000002,2.0,1.0,1.0,167.92000000000002,2,167.92000000000002,2.0,1.0,1.0
Mozambique,2013,98.67,1.0,0.0,0.0,0.0,0.0,98.67,1,0.0,0.0,0.0,0.0
Mozambique,2014,200.0,1.0,0.0,0.0,0.0,0.0,200.0,1,0.0,0.0,0.0,0.0
Mozambique,2017,357.0,2.0,84.0,1.0,0.23529411764705882,0.5,357.0,2,84.0,1.0,0.23529411764705882,0.5
Mozambique,2019,56.0,1.0,56.0,1.0,1.0,1.0,56.0,1,56.0,1.0,1.0,1.0
Mozambique,2020,40.0,1.0,40.0,1.0,1.0,1.0,40.0,1,40.0,1.0,1.0,1.0
Mozambique,2021,652.3,1.0,652.3,1.0,1.0,1.0,652.3,1,652.3,1.0,1.0,1.0
Mozambique,2022,,,,,,,129.6,1,129.6,1.0,1.0,1.0
Mozambique,2023,30.0,1.0,30.0,1.0,1.0,1.0,30.0,1,30.0,1.0,1.0,1.0
Mozambique,2024,270.0,1.0,270.0,1.0,1.0,1.0,270.0,1,270.0,1.0,1.0,1.0
Myanmar,2013,170.0,1.0,0.0,0.0,0.0,0.0,170.0,1,0.0,0.0,0.0,0.0
Myanmar,2017,315.0,1.0,0.0,0.0,0.0,0.0,315.0,1,0.0,0.0,0.0,0.0
Myanmar,2018,293.0,1.0,293.0,1.0,1.0,1.0,293.0,1,293.0,1.0,1.0,1.0
Namibia,2017,51.37,3.0,51.37,3.0,1.0,1.0,51.37,3,51.37,3.0,1.0,1.0
Namibia,2018,77.0,2.0,77.0,2.0,1.0,1.0,77.0,2,77.0,2.0,1.0,1.0
Namibia,2024,20.0,1.0,20.0,1.0,1.0,1.0,20.0,1,20.0,1.0,1.0,1.0
Nepal,2010,43.6,4.0,43.6,4.0,1.0,1.0,43.6,4,43.6,4.0,1.0,1.0
Nepal,2011,21.3,2.0,21.3,2.0,1.0,1.0,107.3,3,107.3,3.0,1.0,1.0
Nepal,2012,0.0,2.0,0.0,2.0,,1.0,966.2,6,966.2,6.0,1.0,1.0
Nepal,2014,158.89999999999998,4.0,158.89999999999998,4.0,1.0,1.0,158.89999999999998,4,158.89999999999998,4.0,1.0,1.0
Nepal,2016,26.07,1.0,26.07,1.0,1.0,1.0,26.07,1,26.07,1.0,1.0,1.0
Nepal,2017,151.1,3.0,151.1,3.0,1.0,1.0,151.1,3,151.1,3.0,1.0,1.0
Nepal,2018,21.4,1.0,21.4,1.0,1.0,1.0,21.4,1,21.4,1.0,1.0,1.0
Nepal,2019,,,,,,,647.2,1,647.2,1.0,1.0,1.0
Nepal,2022,16.84,1.0,16.84,1.0,1.0,1.0,858.74,2,858.74,2.0,1.0,1.0
Nicaragua,2010,425.0,2.0,425.0,2.0,1.0,1.0,425.0,2,425.0,2.0,1.0,1.0
Nicaragua,2011,143.0,2.0,143.0,2.0,1.0,1.0,143.0,2,143.0,2.0,1.0,1.0
Nicaragua,2012,130.0,3.0,130.0,3.0,1.0,1.0,130.0,3,130.0,3.0,1.0,1.0
Nicaragua,2014,76.0,1.0,76.0,1.0,1.0,1.0,76.0,1,76.0,1.0,1.0,1.0
Nicaragua,2023,12.5,1.0,12.5,1.0,1.0,1.0,12.5,1,12.5,1.0,1.0,1.0
Nicaragua,2024,12.5,1.0,12.5,1.0,1.0,1.0,12.5,1,12.5,1.0,1.0,1.0
Nigeria,2013,407.3,1.0,0.0,0.0,0.0,0.0,407.3,1,0.0,0.0,0.0,0.0
Nigeria,2015,880.0,1.0,0.0,0.0,0.0,0.0,880.0,1,0.0,0.0,0.0,0.0
Nigeria,2017,70.0,1.0,70.0,1.0,1.0,1.0,70.0,1,70.0,1.0,1.0,1.0
Nigeria,2021,40.0,1.0,40.0,1.0,1.0,1.0,40.0,1,40.0,1.0,1.0,1.0
Nigeria,2023,116.0,2.0,116.0,2.0,1.0,1.0,116.0,2,116.0,2.0,1.0,1.0
Nigeria,2024,20.0,1.0,20.0,1.0,1.0,1.0,20.0,1,20.0,1.0,1.0,1.0
North Macedonia,2013,14.2,1.0,14.2,1.0,1.0,1.0,14.2,1,14.2,1.0,1.0,1.0
North Macedonia,2016,12.03,1.0,12.03,1.0,1.0,1.0,12.03,1,12.03,1.0,1.0,1.0
North Macedonia,2021,75.04,2.0,75.04,2.0,1.0,1.0,75.04,2,75.04,2.0,1.0,1.0
Pakistan,2011,697.1,3.0,197.10000000000002,2.0,0.2827427915650553,0.6666666666666666,697.1,3,197.10000000000002,2.0,0.2827427915650553,0.6666666666666666
Pakistan,2012,806.2,9.0,806.2,9.0,1.0,1.0,1242.2,10,1242.2,10.0,1.0,1.0
Pakistan,2013,350.1,3.0,350.1,3.0,1.0,1.0,350.1,3,350.1,3.0,1.0,1.0
Pakistan,2015,515.5,4.0,515.5,4.0,1.0,1.0,883.3399999999999,5,883.3399999999999,5.0,1.0,1.0
Pakistan,2016,1238.4,2.0,130.4,1.0,0.10529715762273902,0.5,1238.4,2,130.4,1.0,0.10529715762273902,0.5
Pakistan,2017,2509.45,4.0,569.45,3.0,0.22692223395564767,0.75,6097.65,6,4157.65,5.0,0.681844645068182,0.8333333333333334
Pakistan,2018,1182.2,2.0,102.2,1.0,0.08644899340213162,0.5,1182.2,2,102.2,1.0,0.08644899340213162,0.5
Pakistan,2019,1318.6100000000001,14.0,798.61,13.0,0.6056453386520654,0.9285714285714286,1318.6100000000001,14,798.61,13.0,0.6056453386520654,0.9285714285714286
Pakistan,2020,1951.75,2.0,39.75,1.0,0.020366337901882924,0.5,1951.75,2,39.75,1.0,0.020366337901882924,0.5
Pakistan,2021,250.0,2.0,250.0,2.0,1.0,1.0,250.0,2,250.0,2.0,1.0,1.0
Palau,2022,22.0,1.0,22.0,1.0,1.0,1.0,22.0,1,22.0,1.0,1.0,1.0
Papua New Guinea,2023,1.2,1.0,1.2,1.0,1.0,1.0,1.2,1,1.2,1.0,1.0,1.0
Peru,2010,,,,,,,327.0,2,327.0,2.0,1.0,1.0
Peru,2011,545.9,5.0,174.6,2.0,0.3198387983147097,0.4,545.9,5,174.6,2.0,0.3198387983147097,0.4
Peru,2012,1121.5,3.0,217.5,2.0,0.1939366919304503,0.6666666666666666,2026.5,4,1122.5,3.0,0.5539106834443622,0.75
Peru,2013,604.7,6.0,459.7,5.0,0.7602116752108483,0.8333333333333334,1832.6999999999998,7,1687.6999999999998,6.0,0.920881759153162,0.8571428571428571
Peru,2014,628.0,5.0,138.0,3.0,0.2197452229299363,0.6,1207.5,8,717.5,6.0,0.5942028985507246,0.75
Peru,2015,1003.05,9.0,440.7,6.0,0.43935995214595486,0.6666666666666666,1003.05,9,440.7,6.0,0.43935995214595486,0.6666666666666666
Peru,2016,216.6,3.0,216.6,3.0,1.0,1.0,323.9,4,323.9,4.0,1.0,1.0
Peru,2017,280.5,3.0,280.5,3.0,1.0,1.0,718.5,4,718.5,4.0,1.0,1.0
Peru,2018,311.2,4.0,311.2,4.0,1.0,1.0,311.2,4,311.2,4.0,1.0,1.0
Peru,2019,54.0,2.0,54.0,2.0,1.0,1.0,54.0,2,54.0,2.0,1.0,1.0
Peru,2022,814.4,5.0,814.4,5.0,1.0,1.0,814.4,5,814.4,5.0,1.0,1.0
Peru,2023,447.0,2.0,447.0,2.0,1.0,1.0,447.0,2,447.0,2.0,1.0,1.0
Peru,2024,286.0,2.0,286.0,2.0,1.0,1.0,286.0,2,286.0,2.0,1.0,1.0
Philippines,2010,1479.25,3.0,28.25,1.0,0.01909751563292209,0.3333333333333333,1479.25,3,28.25,1.0,0.01909751563292209,0.3333333333333333
Philippines,2011,288.1,3.0,79.0,2.0,0.27421034363068375,0.6666666666666666,288.1,3,79.0,2.0,0.27421034363068375,0.6666666666666666
Philippines,2012,478.03,8.0,478.03,8.0,1.0,1.0,978.03,9,978.03,9.0,1.0,1.0
Philippines,2013,1204.29,4.0,239.29,2.0,0.1986979880261399,0.5,1204.29,4,239.29,2.0,0.1986979880261399,0.5
Philippines,2014,480.0,1.0,480.0,1.0,1.0,1.0,480.0,1,480.0,1.0,1.0,1.0
Philippines,2015,4180.15,9.0,320.7,4.0,0.07671973493774148,0.4444444444444444,4896.39,11,1036.94,6.0,0.21177643120748144,0.5454545454545454
Philippines,2016,2478.4,3.0,318.0,1.0,0.12830858618463525,0.3333333333333333,2478.4,3,318.0,1.0,0.12830858618463525,0.3333333333333333
Philippines,2017,1700.0,1.0,0.0,0.0,0.0,0.0,1700.0,1,0.0,0.0,0.0,0.0
Philippines,2018,19.12,1.0,19.12,1.0,1.0,1.0,19.12,1,19.12,1.0,1.0,1.0
Philippines,2019,52.5,2.0,52.5,2.0,1.0,1.0,52.5,2,52.5,2.0,1.0,1.0
Philippines,2020,59.61,1.0,59.61,1.0,1.0,1.0,59.61,1,59.61,1.0,1.0,1.0
Philippines,2021,401.71,3.0,401.71,3.0,1.0,1.0,401.71,3,401.71,3.0,1.0,1.0
Philippines,2022,245.17999999999998,7.0,245.17999999999998,7.0,1.0,1.0,245.17999999999998,7,245.17999999999998,7.0,1.0,1.0
Philippines,2023,2081.56,12.0,2081.56,12.0,1.0,1.0,2081.56,12,2081.56,12.0,1.0,1.0
Philippines,2024,4144.24,6.0,4144.24,6.0,1.0,1.0,4144.24,6,4144.24,6.0,1.0,1.0
Russian Federation,2012,50.677,3.0,50.677,3.0,1.0,1.0,50.677,3,50.677,3.0,1.0,1.0
Russian Federation,2014,,,,,,,262.0,1,262.0,1.0,1.0,1.0
Russian Federation,2015,282.0,3.0,282.0,3.0,1.0,1.0,282.0,3,282.0,3.0,1.0,1.0
Russian Federation,2016,207.01000000000002,2.0,207.01000000000002,2.0,1.0,1.0,207.01000000000002,2,207.01000000000002,2.0,1.0,1.0
Russian Federation,2017,161.0,3.0,161.0,3.0,1.0,1.0,161.0,3,161.0,3.0,1.0,1.0
Russian Federation,2018,487.42,6.0,487.42,6.0,1.0,1.0,487.42,6,487.42,6.0,1.0,1.0
Russian Federation,2019,652.3100000000001,5.0,652.3100000000001,5.0,1.0,1.0,652.3100000000001,5,652.3100000000001,5.0,1.0,1.0
Russian Federation,2020,486.95,6.0,307.95,5.0,0.6324057911489885,0.8333333333333334,486.95,6,307.95,5.0,0.6324057911489885,0.8333333333333334
Russian Federation,2021,101.02,5.0,101.02,5.0,1.0,1.0,101.02,5,101.02,5.0,1.0,1.0
Rwanda,2010,16.0,1.0,0.0,0.0,0.0,0.0,16.0,1,0.0,0.0,0.0,0.0
Rwanda,2011,142.0,1.0,0.0,0.0,0.0,0.0,142.0,1,0.0,0.0,0.0,0.0
Rwanda,2012,12.0,1.0,12.0,1.0,1.0,1.0,12.0,1,12.0,1.0,1.0,1.0
Rwanda,2014,60.1,2.0,60.1,2.0,1.0,1.0,60.1,2,60.1,2.0,1.0,1.0
Rwanda,2017,362.0,2.0,362.0,2.0,1.0,1.0,362.0,2,362.0,2.0,1.0,1.0
Rwanda,2023,40.0,2.0,40.0,2.0,1.0,1.0,40.0,2,40.0,2.0,1.0,1.0
Rwanda,2024,7.3,1.0,7.3,1.0,1.0,1.0,7.3,1,7.3,1.0,1.0,1.0
Senegal,2010,22.0,1.0,22.0,1.0,1.0,1.0,22.0,1,22.0,1.0,1.0,1.0
Senegal,2015,114.15,1.0,0.0,0.0,0.0,0.0,114.15,1,0.0,0.0,0.0,0.0
Senegal,2016,75.50999999999999,2.0,75.50999999999999,2.0,1.0,1.0,75.50999999999999,2,75.50999999999999,2.0,1.0,1.0
Senegal,2017,62.9,2.0,25.9,1.0,0.4117647058823529,0.5,62.9,2,25.9,1.0,0.4117647058823529,0.5
Senegal,2018,493.6,1.0,493.6,1.0,1.0,1.0,493.6,1,493.6,1.0,1.0,1.0
Senegal,2019,53.9,2.0,53.9,2.0,1.0,1.0,53.9,2,53.9,2.0,1.0,1.0
Senegal,2023,297.45,4.0,134.92000000000002,3.0,0.4535888384602455,0.75,297.45,4,134.92000000000002,3.0,0.4535888384602455,0.75
Senegal,2024,585.7,2.0,110.7,1.0,0.18900460986853337,0.5,585.7,2,110.7,1.0,0.18900460986853337,0.5
Serbia ,2012,11.4,2.0,11.4,2.0,1.0,1.0,11.4,2,11.4,2.0,1.0,1.0
Serbia ,2014,558.6,1.0,558.6,1.0,1.0,1.0,562.6,2,562.6,2.0,1.0,1.0
Serbia ,2017,818.0,4.0,818.0,4.0,1.0,1.0,818.0,4,818.0,4.0,1.0,1.0
Serbia ,2022,18.46,1.0,18.46,1.0,1.0,1.0,18.46,1,18.46,1.0,1.0,1.0
Serbia ,2023,168.85,1.0,168.85,1.0,1.0,1.0,168.85,1,168.85,1.0,1.0,1.0
Serbia ,2024,416.78999999999996,3.0,416.78999999999996,3.0,1.0,1.0,416.78999999999996,3,416.78999999999996,3.0,1.0,1.0
Sierra Leone,2011,30.0,1.0,30.0,1.0,1.0,1.0,30.0,1,30.0,1.0,1.0,1.0
Sierra Leone,2018,40.0,1.0,0.0,0.0,0.0,0.0,40.0,1,0.0,0.0,0.0,0.0
Sierra Leone,2023,1.2,1.0,1.2,1.0,1.0,1.0,1.2,1,1.2,1.0,1.0,1.0
Sierra Leone,2024,417.0,1.0,0.0,0.0,0.0,0.0,417.0,1,0.0,0.0,0.0,0.0
Solomon Islands,2012,0.0,2.0,0.0,2.0,,1.0,0.0,2,0.0,2.0,,1.0
Solomon Islands,2019,233.37,1.0,233.37,1.0,1.0,1.0,233.37,1,233.37,1.0,1.0,1.0
Somalia,2023,5.67,1.0,5.67,1.0,1.0,1.0,5.67,1,5.67,1.0,1.0,1.0
South Africa,2010,6.0,1.0,0.0,0.0,0.0,0.0,6.0,1,0.0,0.0,0.0,0.0
South Africa,2012,5648.61,29.0,5648.61,29.0,1.0,1.0,5648.61,29,5648.61,29.0,1.0,1.0
South Africa,2013,2630.69,12.0,2630.69,12.0,1.0,1.0,2630.69,12,2630.69,12.0,1.0,1.0
South Africa,2014,87.0,3.0,87.0,3.0,1.0,1.0,87.0,3,87.0,3.0,1.0,1.0
South Africa,2015,3906.44,15.0,3906.44,15.0,1.0,1.0,4035.44,16,4035.44,16.0,1.0,1.0
South Africa,2016,779.4,1.0,779.4,1.0,1.0,1.0,779.4,1,779.4,1.0,1.0,1.0
South Africa,2018,4347.23,21.0,4347.23,21.0,1.0,1.0,4347.23,21,4347.23,21.0,1.0,1.0
South Africa,2021,826.3,1.0,826.3,1.0,1.0,1.0,826.3,1,826.3,1.0,1.0,1.0
South Africa,2022,1307.03,3.0,1307.03,3.0,1.0,1.0,1307.03,3,1307.03,3.0,1.0,1.0
South Africa,2023,1216.22,10.0,1216.22,10.0,1.0,1.0,1216.22,10,1216.22,10.0,1.0,1.0
South Africa,2024,1621.5900000000001,6.0,1621.5900000000001,6.0,1.0,1.0,1621.5900000000001,6,1621.5900000000001,6.0,1.0,1.0
South Sudan,2024,20.0,2.0,20.0,2.0,1.0,1.0,20.0,2,20.0,2.0,1.0,1.0
Sri Lanka,2010,684.4,9.0,159.4,7.0,0.23290473407364115,0.7777777777777778,684.4,9,159.4,7.0,0.23290473407364115,0.7777777777777778
Sri Lanka,2011,116.96,11.0,116.96,11.0,1.0,1.0,116.96,11,116.96,11.0,1.0,1.0
Sri Lanka,2012,354.90000000000003,10.0,354.90000000000003,10.0,1.0,1.0,354.90000000000003,10,354.90000000000003,10.0,1.0,1.0
Sri Lanka,2014,13.585,1.0,13.585,1.0,1.0,1.0,13.585,1,13.585,1.0,1.0,1.0
Sri Lanka,2023,8.32,1.0,8.32,1.0,1.0,1.0,8.32,1,8.32,1.0,1.0,1.0
St. Kitts and Nevis,2020,47.85,1.0,47.85,1.0,1.0,1.0,47.85,1,47.85,1.0,1.0,1.0
St. Lucia,2017,20.0,1.0,20.0,1.0,1.0,1.0,20.0,1,20.0,1.0,1.0,1.0
St. Vincent and the Grenadines,2019,82.0,1.0,82.0,1.0,1.0,1.0,82.0,1,82.0,1.0,1.0,1.0
São Tomé and Principe,2023,30.0,1.0,30.0,1.0,1.0,1.0,30.0,1,30.0,1.0,1.0,1.0
Tanzania,2011,134.1,3.0,0.0,0.0,0.0,0.0,134.1,3,0.0,0.0,0.0,0.0
Tanzania,2020,1.2,1.0,1.2,1.0,1.0,1.0,1.2,1,1.2,1.0,1.0,1.0
Tanzania,2023,30.0,1.0,30.0,1.0,1.0,1.0,30.0,1,30.0,1.0,1.0,1.0
Tanzania,2024,15.0,1.0,15.0,1.0,1.0,1.0,15.0,1,15.0,1.0,1.0,1.0
