Country,year,green_investment,green_share_value,country,resilience_score,Country Name,gdp_pc,rule_law,log_green,cluster
Afghanistan,2017,19.0,1.0,Afghanistan,-0.7982266942041729,Afghanistan,-1.1745407304532893,-2.5239618794055683,2.995732273553991,1
Afghanistan,2019,18.89,0.0991653105149876,Afghanistan,-0.7982266942041729,Afghanistan,-1.1759589574768778,-2.6668029387354735,2.9902170928658807,1
Albania,2011,4.16,1.0,Albania,-0.6528376464399982,Albania,-0.2743945164921581,0.45880958862372484,1.6409365794934714,2
Albania,2012,134.39999999999998,1.0,Albania,-0.6528376464399982,Albania,-0.24724579775637795,0.22181363515233507,4.9082333604781745,2
Albania,2013,19.4,1.0,Albania,-0.6528376464399982,Albania,-0.21139976211516648,0.0399777188914028,3.0155349008501706,1
Albania,2014,177.3,1.0,Albania,-0.6528376464399982,Albania,-0.16828128336106843,0.5113897439923412,5.183467524869095,2
Albania,2023,187.33,1.0,Albania,-0.6528376464399982,Albania,0.453864584569929,0.7954601486841651,5.2381957432066555,2
Algeria,2012,30.3,1.0,Algeria,-0.5074485986758235,Algeria,-0.03151065554223475,-0.7404718331268758,3.4436180975461075,1
Angola,2014,112.0,1.0,Angola,-0.7982266942041729,Angola,-0.2544789318633199,-1.8566677868833936,4.727387818712341,1
Angola,2024,1600.0,1.0,Angola,-0.7982266942041729,Angola,-0.5149295888917685,-1.5448651035067735,7.3783837129967145,1
Argentina,2011,175.8,1.0,Argentina,0.8010528312017486,Argentina,2.720017283693732,0.06923887093345613,5.175019150203543,0
Argentina,2012,593.0,1.0,Argentina,0.8010528312017486,Argentina,2.637318841401061,-0.03801749182099334,6.386879319362645,0
Argentina,2013,1039.0,1.0,Argentina,0.8010528312017486,Argentina,2.6927036873347565,-0.17779760797110097,6.946975992135418,0
Argentina,2015,120.0,1.0,Argentina,0.8010528312017486,Argentina,2.615704951283719,0.07197757296457706,4.795790545596741,0
Argentina,2017,737.6,0.4039209243743497,Argentina,0.8010528312017486,Argentina,2.5696119421772274,0.7505896937123302,6.6047565024184625,0
