Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type of PPI,Subtype of PPI,Project status,Primary sector,Subsector,Segment,Location,ContractPeriod,GovtGrantingContract,DirectGovtSupport,DirectGovtSupportValue,InDirectGovtSupport,InDirectGovtSupportValue,Total Equity,InvestmentYear,PercentPrivate,FeesToGovernment,PhysicalAssets,TotalInvestment,CapacityType,Capacity,Technology,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,Sponsors,Sponsors Country,Main Revenue Source,Other Revenue Source,MultiLateralSupport,BiLateralSupport,TotalDebtFunding,DebtEquityGrantRatio,ProjectBanks,UnsolicitedProposal,PublicDisclosure,is_resilient
East Asia and Pacific,Cambodia,Low income,IDA,2001,May,Kampong Cham City Diesel Plant,,Greenfield project,"Build, operate, and transfer",Active,Energy,Electricity,Electricity generation,Kampong Cham City,25,National,Not Available,,Not Available,,,2001,100,0,8,8.0,MW,20,Diesel,,,Not Available,,Global Technological Support Bhd (Not Available / 100% ),Malaysia,Not Applicable,,No,No,,,EXIM Bank Malaysia (Not Available / Not Available / $Not Available),,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2001,April,Kirirom 1 and 3 Hydropower Stations ,Kirium Hydro Station Project,Brownfield,"Rehabilitate, operate, and transfer",Active,Energy,Electricity,Electricity generation,Kirirom Area,32,National,Not Available,,Not Available,,,2001,100,0,20,20.0,MW,12,"Hydro, Small (<50MW)",,,Direct negotiation,,China Electric Power Technology Import and Export Corp (Not Available / 100% ),China,Not Applicable,,No,No,,,EX-IM Bank of China (Not Available / Not Available / $Not Available),,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2001,April,Kirirom 1 and 3 Hydropower Stations ,Kirium Hydro Station Project,Brownfield,"Rehabilitate, operate, and transfer",Active,Energy,Electricity,Electricity generation,Kirirom Area,32,National,Not Available,,Not Available,,,2008,100,Not Available,47.1,47.1,MW,30,"Hydro, Small (<50MW)",,,Direct negotiation,,China Electric Power Technology Import and Export Corp (Not Available / 100% ),China,Not Applicable,,No,No,,,EX-IM Bank of China (Not Available / Not Available / $Not Available),,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2001,September,Siem Reap International Airport (SRIA),,Brownfield,"Rehabilitate, operate, and transfer",Active,Transport,Airports,Runway and terminal,Siem Reap,40,National,Not Available,,Not Available,,,2001,100,0,65,65.0,Number of runways,1,,,Not Applicable,Not Available,,"Vinci (Not Available / 70% ), 

Muhibbah Engineering (Not Available / 30% )","France, 

Cambodia",Not Applicable,,IFC (Loan / $10 Million / 2004),No,,,,,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2001,September,Siem Reap International Airport (SRIA),,Brownfield,"Rehabilitate, operate, and transfer",Active,Transport,Airports,Runway and terminal,Siem Reap,40,National,Not Available,,Not Available,,,2004,100,0,23.9,23.9,Number of runways,1,,,Not Applicable,Not Available,,"Vinci (Not Available / 70% ), 

Muhibbah Engineering (Not Available / 30% )","France, 

Cambodia",Not Applicable,,IFC (Loan / $10 Million / 2004),No,,,,,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2002,April,Koh Kong Bridge,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Bridge,"Koh Pao Canal, Koh Kong Province",30,National,Not Available,,Not Available,,,2002,100,0,7.2,7.2,KM,2,,,,Not Available,,Li Yong Phat (Not Available / 100% ),"Hong Kong, China",Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2004,February,Khmer Electric Power,,Greenfield project,"Build, own, and operate",Active,Energy,Electricity,Electricity generation,"Khan Mean Chay, Pnohm Penh",18,National,Not Available,,Not Available,,,2004,100,0,25,25.0,MW,32,Diesel,,,Not Available,,Anco Group (Not Available / 100% ),Cambodia,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2004,September,Mondulkiri Province Toll Road ,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,Mondulkiri Province,30,Local/Municipal,Not Available,,Not Available,,,2004,100,0,6,6.0,KM,36,,,,Not Available,,Sorla Investment Co. (Not Available / 100% ),Cambodia,Not Applicable,,No,No,,,,Yes,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2005,July,Colben Energy,Colben System,Greenfield project,"Build, own, and operate",Active,Energy,Electricity,Electricity generation,Phnom Penh and Sihanoukville,10,National,Not Available,,Not Available,,,2005,100,0,25,25.0,MW,15,Diesel,,,Direct negotiation,,Asiatic Group (Not Available / 100% ),Singapore,Purchase agreements or transmission fees with public entity(ies),,No,No,,,Alfa (Not Available / Not Available / $Not Available),,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2006,July,Sihanoukville International Airport,"SCA, Société Concessionnaire de l’Aéroport",Brownfield,"Build, rehabilitate, operate, and transfer",Active,Transport,Airports,Runway and terminal,"Sihanoukville, Cambodia",35,National,Not Available,,Not Available,,,2006,100,0,40.1,40.1,Number of runways,1,,,Highest new investment,Competitive bidding,Not Available,"Vinci (Not Available / 70% ), 

Muhibbah Engineering (Not Available / 30% )","France, 

Cambodia",Not Applicable,,"IFC (Loan / $8 Million / 2007), 

IFC (Loan / $10 Million / 2007)",No,,,,,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2007,April,ABC Phnom Penh Biomass Plant,,Greenfield project,"Build, own, and operate",Active,Energy,Electricity,Electricity generation,"Phum Ang Snoul, Ang Snoul District, Kandal Region, Cambodia",Not Available,National,Not Available,,Not Available,,,2007,100,Not Available,6.33,6.33,MW,2,Biomass,,,License scheme,,Angkor Bio Cogen (ABC) (Not Available / 100% ),Cambodia,PPA/WPA payments,,No,No,,,,,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2007,September,Kamchay Hydropower Station,,Greenfield project,"Build, operate, and transfer",Active,Energy,Electricity,Electricity generation,Kampot Province,44,National,Not Available,,Not Available,,,2007,100,0,280,280.0,MW,193,"Hydro, Large (>50MW)",,Not Available,Competitive bidding,Not Available,Sinohydro (Not Available / 100% ),China,PPA/WPA payments,,No,No,,,,,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2007,April,Stung Atay River Hydropower Station,,Greenfield project,"Build, operate, and transfer",Active,Energy,Electricity,Electricity generation,Pursat Province,33,National,Not Available,,Not Available,,,2007,100,0,255.3,255.3,MW,120,"Hydro, Large (>50MW)",,,Direct negotiation,,China Yunnan Corporation For International Techno-Economic Cooperation (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,,,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2009,October,Toll Royal Railways,,Management and lease contract,Management contract,Active,Transport,Railways,"Fixed assets, freight and passenger",Phnom Penh,30,National,Not Available,,Not Available,,,2009,55,Not Available,Not Available,,Not Available,Not Available,,,,Direct negotiation,,"Royal Group of Companies (Not Available / 45% ), 

Toll Group (Australia) (Not Available / 55% )","Cambodia, 

Australia",User fees,,ADB (Loan / $84 Million / 2010),No,,,,,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2010,February,Cambodia Energy Limited,Leader - CIID,Greenfield project,"Build, own, and operate",Active,Energy,Electricity,Electricity generation and transmission,Sihanoukville,30,National,Not Available,,Payment Guarantee,Not Available,,2010,100,Not Available,247,247.0,MW,100,Coal,,Not Applicable,Competitive bidding,7,Leader Universal Holdings (Not Available / 100% ),..,Purchase agreements or transmission fees with public entity(ies),,No,No,,,EXIM Bank Malaysia (Not Available / Not Available / $Not Available),,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2010,July,Orussei Hydroelectric Power Plant,Orussey,Greenfield project,"Build, operate, and transfer",Active,Energy,Electricity,Electricity generation,Koh Kong Province,30,National,Not Available,,Payment Guarantee,Not Available,,2010,100,Not Available,558,558.0,MW,338,"Hydro, Large (>50MW)",,,Direct negotiation,,China Huadian Corporation (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,EX-IM Bank of China (Not Available / Not Available / $Not Available),,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2010,July,Stung Russey Chrum Krom Hydropower Plant,Steun Russei Chrum Krom,Greenfield project,"Build, operate, and transfer",Active,Energy,Electricity,Electricity generation,Koh Kong Province,30,National,Not Available,,Payment Guarantee,Not Available,,2010,100,Not Available,412,412.0,MW,338,"Hydro, Large (>50MW)",,,Direct negotiation,,China Huadian Corporation (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,EX-IM Bank of China (Not Available / Not Available / $Not Available),,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2010,April,Stung Tatay Hydropower Plant,,Greenfield project,"Build, operate, and transfer",Active,Energy,Electricity,Electricity generation,"Thmar Baing District, Koh Kong Province",42,National,Not Available,,Payment Guarantee,Not Available,,2010,100,Not Available,540,540.0,MW,246,"Hydro, Large (>50MW)",,,Direct negotiation,,China National Heavy Machinery Corporation (Not Available / 100% ),China,Purchase agreements or transmission fees with public entity(ies),,No,No,,,,,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2012,August,Soma Hak Se Biomass Plant,,Greenfield project,"Build, own, and operate",Active,Energy,Electricity,Electricity generation,Kamphong Cham Region,Not Available,National,Not Available,,Not Available,,,2012,100,Not Available,Not Available,,MW,1.5,Biomass,,,Direct negotiation,,Soma Group (Not Available / 100% ),Cambodia,PPA/WPA payments,,No,No,,,,,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2017,August,Siem Reap Angkor International Airport,,Greenfield project,"Build, operate, and transfer",Active,Transport,Airports,Terminal,Krong Siem Reap,55,National,Not Available,,Not Available,,120,2017,100,Not Applicable,1000,1000.0,Other,Not Available,,,,Direct negotiation,,Yunnan Investment Holdings ($120 / 100% ),China,User fees,,No,No,880,88:12,Other Government of Cambodia (Not Available / Not Available / $Not Available),,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2017,May,Svay Rieng PV Solar Farm,,Greenfield project,"Build, own, and operate",Active,Energy,Electricity,Electricity generation,Svay Rieng province,Not Available,National,Not Available,,Not Available,,3.3,2017,100,Not Applicable,12.5,12.5,MW,10,"Solar, PV",,Lowest tariff,Competitive bidding,Not Available,Sunseap Group ($3.3 / 100% ),Singapore,Purchase agreements or transmission fees with public entity(ies),,ADB (Loan / $10 Million / 2017),No,9.2,74:26,ADB (Multilateral / International / $9.2),No,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2019,July,Cambodia Fiber Optic Communication Network,,Greenfield project,"Build, own, and operate",Active,Information and communication technology (ICT),ICT,Land-based cable,"Kampot, Prey Veng, Tbong Khmum, Kampong Thom and Pursat",Not Available,Not Available,Not Available,,Not Available,,0,2019,100,Not Available,75,75.0,KM,2000,,,,Not Available,,"Cambodia Fiber Optic Communication Network Co., Ltd ($0 / 100% )",Cambodia,Not Applicable,,Other Asian Infrastructure Investment Bank (AIIB) (Loan / $75 Million / 2019),No,75,100:0,Other Asian Infrastructure Investment Bank (AIIB) (Multilateral / International / $75),No,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2019,May,Phnom Penh-Sihanoukville Expressway (190KM) PPP,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Highway,Phnom Penh,Not Available,National,Not Available,,Not Available,,600,2019,100,Not Available,1800,1800.0,KM,190,,,,Not Available,,Others ($600 / 100% ),..,User fees,,,Exim bank of China (Syndication / $1200 Million / 2019),1200,30:70,EX-IM Bank of China (Public / International / $1200),,No,0.0
East Asia and Pacific,Cambodia,Low income,IDA,2020,December,Battambang solar plant,,Greenfield project,"Build, own, and operate",Active,Energy,Electricity,Electricity generation,Krong Battambang,Not Available,Local/Municipal,Not Available,,Not Available,,,2020,100,Not Available,45,45.0,MW,73,"Solar, PV",,Lowest tariff,Competitive bidding,Not Available,"Risen Energy Co., Ltd (Not Available / 100% )",China,Purchase agreements or transmission fees with public entity(ies),,EBRD (Loan / $.. Million / 2020),DEG (Loan / $45 Million / 2020),45,Not Available,"EBRD (Multilateral / International / $Not Available), 

Other DEG (Bilateral / International / $45)",,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2021,February,Prime Road National Solar Park (phase 1),Chhnang solar plant,Greenfield project,"Build, own, and operate",Active,Energy,Electricity,Electricity generation,Kampong Chhnang Province,20,National,Not Available,,Not Available,,8.8,2021,100,Not Available,41.2,41.2,MW,60,"Solar, PV",,Lowest tariff,Competitive bidding,3,Prime Road Alternative ($8.8 / 100% ),Thailand,Purchase agreements or transmission fees with public entity(ies),,"ADB (Loan / $9 Million / 2021), 

IFC (Loan / $8 Million / 2021), 

ADB (Other SCF Grant / $3 Million / 2021)","JICA (Loan / $5 Million / 2021), 

 Canadian Climate Fund for the Private Sector in Asia II (Loan / $5 Million / 2021), 

 Republic of Korea e-Asia and Knowledge Partnership Fund (Other Technical Assistance Grant / $1 Million / 2021)",28.9,70:30,"ADB (Multilateral / International / $8.1), 

JICA (Bilateral / International / $4.1), 

Other Canadian Climate Fund for the Private Sector in Asia II (Bilateral / International / $4.2), 

IFC (Multilateral / International / $8), 

Not Available (Not Available / Not Available / $4.5)",No,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2022,December,KWSH potable water project,,Greenfield project,Not Available,Active,Water and sewerage,Water Utility,Water utility without sewerage,,Not Available,Not Available,Not Available,,Not Available,,,2022,100,Not Available,7,7.0,Cubic meters per day (in thousands),Not Available,,,,Not Available,,Khmer Water Supply Holding (Not Available / 100% ),Cambodia,Purchase agreements or transmission fees with public entity(ies),,No,U.S. International Development Finance Corporation (Loan / $7 Million / 2022),7,100:0,Other U.S. International Development Finance Corporation (Bilateral / International / $7),,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2023,January,KWSH water supply network expansion,Cambodia Water Portfolio project,Brownfield,Not Available,Active,Water and sewerage,Water Utility,Water utility without sewerage,,Not Available,National,Not Available,,Not Available,,,2023,100,Not Available,2.3,2.3,Population (in thousands),66.9,,,,Not Available,,Khmer Water Supply Holding (Not Available / 100% ),Cambodia,User fees,,No,No,2.3,100:0,Other InfraCo Asia (Commercial / International / $2.3),,No,1.0
East Asia and Pacific,Cambodia,Low income,IDA,2023,November,Stung Russei Chrum Kandal and Stung Veal Thmor Kambot Hydropower Plants,Koh Kong Hydropower Station,Greenfield project,"Build, operate, and transfer",Active,Energy,Electricity,Electricity generation,Koh Kong Province,Not Available,National,Not Available,,Not Available,,447.5,2023,100,Not Available,447.5,447.5,MW,170,"Hydro, Large (>50MW)",,,Not Available,,Khmer Electrical Power Co. Ltd. ($447.5 / 100% ),Cambodia,Purchase agreements or transmission fees with public entity(ies),,No,No,,,,No,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,June,Baoding Water Plant,,Brownfield,"Rehabilitate, operate, and transfer",Active,Water and sewerage,Treatment plant,Potable water treatment plant,Hubei Province,20,Local/Municipal,Not Available,,Not Available,,,2000,90,0,24.2,24.2,Cubic meters per day (in thousands),259.2,,,,Not Available,,"SUEZ (Not Available / 45% ), 

NWS Holdings Limited (Not Available / 45% )","France, 

Hong Kong, China",Not Applicable,,No,No,,,,,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,April,Beijing - Jingtong Highway,Beijing Capital Co.,Divestiture,Partial,Active,Transport,Roads,Highway,"Chaoyang, Beijing",Not Available,National,Not Available,,Not Available,,,2000,15,325,0,325.0,KM,18,,,Highest price paid to government,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,March,Beijing International Airport,Beijing Capital International Airport Co. Ltd. (BCIA),Divestiture,Partial,Active,Transport,Airports,Runway and terminal,Beijing,Not Available,National,Not Available,,Not Available,,,2000,35,386,0,386.0,Number of runways,2,,,Highest price paid to government,Competitive bidding,Not Available,Others (Not Available / 35% ),..,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,July,Beijing Xinao Gas Company Limited,,Greenfield project,"Build, operate, and transfer",Active,Energy,Natural Gas,Natural gas distribution,"Miyun, Beijing Muncipality",30,Not Available,Not Available,,Not Available,,,2000,Not Available,0,1,1.0,Not Available,Not Available,,,,Not Available,,Xinao Gas Holdings Limited (Not Available / 95% ),China,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,July,Beijing Xinao Gas Company Limited,,Greenfield project,"Build, operate, and transfer",Active,Energy,Natural Gas,Natural gas distribution,"Miyun, Beijing Muncipality",30,Not Available,Not Available,,Not Available,,,2001,95,0,0.2,0.2,KM,70,,,,Not Available,,Xinao Gas Holdings Limited (Not Available / 95% ),China,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,December,Changchun Gas Co. Ltd.,,Divestiture,Partial,Active,Energy,Natural Gas,Natural gas distribution,"Changchun, Jilin Province",Not Available,Not Available,Not Available,,Not Available,,,2000,25,43.5,0,43.5,Number of installed connections ( in thousands),Not Available,,,Highest price paid to government,Competitive bidding,Not Available,Others (Not Available / 25% ),..,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,January,Changchun Wastewater Project,,Greenfield project,"Build, own, and operate",Cancelled,Water and sewerage,Treatment plant,Sewerage treatment plant,"Changchun city, Jilin Province",21,Local/Municipal,Not Available,,Revenue Guarantee,Not Available,,2000,50,0,32,32.0,Cubic meters per day (in thousands),468.288,,,,Not Available,,"RWE (Not Available / 25% ), 

Sime Darby Bhd. (Not Available / 17% )","Germany, 

Malaysia",Not Applicable,,No,No,,,,,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,January,Chengdu Cogeneration Project,Sichuan Jialing Electric Power Co Ltd,Divestiture,Partial,Active,Energy,Electricity,Electricity generation,"Chengdu, Sichuan Province",Not Available,Not Available,Not Available,,Not Available,,,2000,51,56.5,277,333.5,MW,360,Coal,,,Not Available,,Linfeng Group (Not Available / 51% ),China,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,June,China United Communications ,China Unicom,Divestiture,Partial,Active,Information and communication technology (ICT),ICT,Other,National,Not Available,Not Available,Not Available,,Not Available,,,2000,25,5653,0,5653.0,Number of installed connections ( in thousands),47300,,,,Not Available,,Others (Not Available / 48% ),..,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,July,Fujian Mindong Electric Power Co.,,Divestiture,Partial,Active,Energy,Electricity,Electricity generation,"Fuan, Fujian Province",Not Available,Not Available,Not Available,,Not Available,,,2000,Not Available,150,0,150.0,MW,Not Available,"Hydro, Small (<50MW)",,Highest price paid to government,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Not Applicable,,No,No,,,,,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,March,Guangxi Guigan Electric Power,,Divestiture,Partial,Active,Energy,Electricity,Electricity generation,"Guiguan, Guangxi Province",Not Available,Not Available,Not Available,,Not Available,,,2000,16,83.3,0,83.3,MW,592,"Hydro, Large (>50MW)",,Highest price paid to government,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Not Applicable,,No,No,,,,,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,December,Guangxi Wuzhou Communications Co. Ltd.,,Divestiture,Partial,Active,Transport,Roads,Bridge and highway,"Naning, Guangxi Province",Not Available,National,Not Available,,Not Available,,,2000,18,53,0,53.0,Not Available,Not Available,,,Highest price paid to government,Not Available,,Others (Not Available / Not Available% ),..,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,March,Hefei - Yeji section of National Highway 312 ,,Brownfield,"Rehabilitate, operate, and transfer",Active,Transport,Roads,Highway,"Hefei-Yeji, Anhui Province",25,State/Provincial,Not Available,,Not Available,,,2000,50,0,133.1,133.1,KM,130,,,Not Applicable,Not Available,,Road King Infrastructure (Not Available / 50% ),"Hong Kong, China",Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,December,Hexian Water Treatment Plant,He Xian,Brownfield,"Rehabilitate, operate, and transfer",Active,Water and sewerage,Treatment plant,Potable water treatment plant,"Hexian city,  Anhui Province",20,Local/Municipal,Not Available,,Not Available,,,2000,100,0,7.3,7.3,Number of installed connections ( in thousands),630,,,,Not Available,,Anglian Water (Not Available / 50% ),United Kingdom,Not Applicable,,No,No,,,,,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,October,Hubei WuAn Peak Heat and Power Company Ltd.,,Divestiture,Partial,Active,Energy,Electricity,Electricity generation,"WuAn, Hebei Province",20,Not Available,Not Available,,Not Available,,,2000,90,10.1,0,10.1,MW,24,Coal,,Not Applicable,Not Available,,Alliant Energy (Not Available / 90% ),United States,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,May,Jiangxi Ganyue Expressway Co.,,Divestiture,Partial,Active,Transport,Roads,Highway,"Nanchang, Jiangxi Province",Not Available,Not Available,Not Available,,Not Available,,,2000,26.2,159.5,0,159.5,Not Available,Not Available,,,,Not Available,,Others (Not Available / 27% ),..,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,August,Langfang Xinao Gas Company Limited,,Greenfield project,"Build, operate, and transfer",Active,Energy,Natural Gas,Natural gas distribution,"Langfang, Hebei province",30,Not Available,Not Available,,Not Available,,,2000,100,0,9.3,9.3,KM,201,,,,Not Available,,Xinao Gas Holdings Limited (Not Available / Not Available% ),China,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,July,Liaocheng Xinao Gas Company Limited,,Greenfield project,"Build, operate, and transfer",Active,Energy,Natural Gas,Natural gas distribution,"Liaocheng, Shandong province",30,Not Available,Not Available,,Not Available,,,2000,90,0,1.7,1.7,KM,103,,,,Not Available,,Xinao Gas Holdings Limited (Not Available / Not Available% ),China,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,January,Liu River Water Supply Project,,Greenfield project,"Build, own, and operate",Active,Water and sewerage,Treatment plant,Potable water treatment plant,"Xinmin city, Liaoning Province",Not Available,Local/Municipal,Not Available,,Not Available,,,2000,92,0,0,,Cubic meters per day (in thousands),37.152,,,,Not Available,,"RWE (Not Available / 45% ), 

Sime Darby Bhd. (Not Available / 30% )","Germany, 

Malaysia",Not Applicable,,No,No,,,,,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,January,Panyu Beidou Bridge,,Greenfield project,"Build, operate, and transfer",Active,Transport,Roads,Bridge,"Panyu, Guangdong Province",25,Local/Municipal,Not Available,,Not Available,,,2000,40,0,21.1,21.1,KM,3,,,,Direct negotiation,,Cheung Kong Infrastructure Holdings Ltd (Not Available / 40% ),"Hong Kong, China",Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,February,Qingdao Qianwan Container Terminal Ltd (QQCT),,Greenfield project,"Build, operate, and transfer",Active,Transport,Ports,Terminal,Qianwan,30,National,Not Available,,Not Available,,,2000,49,0,177,177.0,Not Available,Not Available,,,,Direct negotiation,,"AP Moller - Maersk Group (Not Available / 20% ), 

P&O Ports (Not Available / 29% )","Denmark, 

United Kingdom",Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,February,Qingdao Qianwan Container Terminal Ltd (QQCT),,Greenfield project,"Build, operate, and transfer",Active,Transport,Ports,Terminal,Qianwan,30,National,Not Available,,Not Available,,,2003,69,0,887,887.0,Throughput (thousands of TEUs per year),4,,,,Direct negotiation,,"AP Moller - Maersk Group (Not Available / 20% ), 

P&O Ports (Not Available / 29% )","Denmark, 

United Kingdom",Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,July,Shanghai Port Container Co. Ltd.,,Divestiture,Partial,Active,Transport,Ports,Terminal,Shanghai,Not Available,National,Not Available,,Not Available,,,2000,Not Available,303.8,0,303.8,Not Available,Not Available,,,Not Available,Competitive bidding,Not Available,Others (Not Available / Not Available% ),..,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,June,Shanxi Tianshi Coalwaste-Fired Power,,Greenfield project,"Build, operate, and transfer",Active,Energy,Electricity,Electricity generation,"Lingshi Prefecture, Shanxi Province",Not Available,Not Available,Not Available,,Not Available,,,2000,Not Available,0,31.3,31.3,MW,50,Coal,,Not Applicable,Not Available,,"Nissho Iwai Corporation (Not Available / Not Available% ), 

J-POWER (Not Available / 24% )","Japan, 

Japan",Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,September,Siping Water Plant,,Brownfield,"Build, rehabilitate, operate, and transfer",Active,Water and sewerage,Treatment plant,Potable water treatment plant,Jilin Province,30,Local/Municipal,Not Available,,Not Available,,,2000,50,0,8.9,8.9,Cubic meters per day (in thousands),118.368,,,,Not Available,,"SUEZ (Not Available / 25% ), 

NWS Holdings Limited (Not Available / 25% )","France, 

Hong Kong, China",Not Applicable,,No,No,,,,,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2000,October,Yanjiao Water Project,,Brownfield,"Rehabilitate, operate, and transfer",Active,Water and sewerage,Treatment plant,Potable water and sewerage treatment plant,"Yanjiao city, Hebei Province",Not Available,Local/Municipal,Not Available,,Not Available,,,2000,Not Available,0,0,,Cubic meters per day (in thousands),37.152,,,,Not Available,,"RWE (Not Available / Not Available% ), 

Sime Darby Bhd. (Not Available / Not Available% )","Germany, 

Malaysia",Not Applicable,,No,No,,,,,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,April,Anhui New Energy Heat and Power,,Greenfield project,"Build, operate, and transfer",Active,Energy,Electricity,Electricity generation,"Bengbu, Anhui Province",20,Not Available,Not Available,,Not Available,,,2001,64,0,14,14.0,MW,80,Coal,,,Not Available,,Banpu Public Company (Not Available / 64% ),Thailand,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,May,Beijing Kangxi Wind Farm Project ,,Greenfield project,"Build, operate, and transfer",Active,Energy,Electricity,Electricity generation,"Yanqing County, Beijing Municipality",30,State/Provincial,Not Available,,Not Available,,,2001,100,0,241.55,241.55,MW,200,Wind,,,Direct negotiation,,Farsighted Investment (Not Available / 100% ),China,Not Applicable,,No,No,,,,,No,1.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,January,Beijing Xinao Jingchang Gas Company Limited,,Greenfield project,"Build, own, and operate",Active,Energy,Natural Gas,Natural gas distribution,"Changping District, Beijing Municipality",30,Local/Municipal,Not Available,,Not Available,,,2001,80,0,1.2,1.2,KM,46,,,Not Applicable,Not Available,,Xinao Gas Holdings Limited (Not Available / 80% ),China,Not Applicable,,No,No,,,,,No,0.0
East Asia and Pacific,China,Upper middle income,Non-IDA,2001,January,Beijing Xinao Jinggu Gas Company Limited,,Greenfield project,"Build, operate, and transfer",Active,Energy,Natural Gas,Natural gas distribution,"Pinggu County, Beijing Municipality",50,Local/Municipal,Not Available,,Not Available,,,2001,90,0,3.62,3.62,KM,44,,,,Not Available,,Xinao Gas Holdings Limited (Not Available / 90% ),China,Not Applicable,,No,No,,,,,No,0.0
