Technology,Very Low,Low,Middle,High
"Solar, PV",240,123,445,89
Wind,151,68,405,82
Not Applicable,57,30,269,12
"Hydro, Small (<50MW)",80,88,170,8
Natural Gas,83,38,104,50
"Hydro, Large (>50MW)",57,43,121,8
Coal,117,50,41,11
Biomass,18,18,157,12
Diesel,77,24,52,7
Waste,16,3,108,3
"N/A, N/A",8,6,27,4
Geothermal,4,22,7,1
Other,20,2,11,0
Biogas,1,3,12,5
"Solar, CSP",5,3,13,0
