Technology,Very Low,Low,Middle,High
"Solar, PV",1.0008313275533796,0.9195257883236352,0.8924981219340267,1.1871447621889588
Wind,0.8274251092967375,0.6679897743978643,1.0673440233448035,1.4372410929605945
Not Applicable,0.818554996240127,0.7723309086658031,1.8579025835668324,0.5512115115272376
"Hydro, Small (<50MW)",0.9272452393583683,1.8285062551185944,0.9476570488241616,0.2965914566988754
Natural Gas,0.9194819485824667,0.7546713530302918,0.5541101495012376,1.771736548886004
"Hydro, Large (>50MW)",1.0464953373260921,1.415272442929943,1.0684284970510685,0.469803722692896
Coal,1.789407432328968,1.370889759826809,0.3015816288327546,0.5381211790114687
Biomass,0.4385937406197276,0.7862697768499533,1.8398703781037768,0.9352661044265425
Diesel,1.839633730981558,1.0279240649520804,0.5975051228905287,0.5349370811758328
Waste,0.7718623661490649,0.25944797864079655,2.5057704878407723,0.46291916736936634
"N/A, N/A",0.7185143569007257,0.96606392899992,1.1662908761793576,1.149130837919996
Geothermal,0.3199692712890524,3.1548601662415776,0.26930472395569316,0.2558658385136771
Other,2.770482662782957,0.4966661817733746,0.7328511554436689,0.0
Biogas,0.14213307934262454,0.7644086148138847,0.8203025506035714,2.2731557552399195
"Solar, CSP",1.202614276538216,1.293560538525943,1.5038251849358413,0.0
